indicator,alert_percentile,alarm_percentile,alert_tukey,alarm_tukey,retention_filter,season_scope,baseline_method,country,q1_median,q3_median,median_iqr,alert_zscore,alarm_zscore
rainfall 3-month anomaly [%],80.104285,65.36166,57.98810945833333,51.07021320833333,>=40%,All Months,none,Kenya,71.82390195833332,87.52002166666665,13.835792499999997,62.77412634221503,22.6172330881886
rainfall 3-month anomaly [%],77.422976,64.21191306666667,55.51002916666667,48.90492366666667,none,Long Rains (Mar–May),none,Kenya,68.72024016666667,85.500057,13.210211000000001,62.77412634221503,22.6172330881886
rainfall 3-month anomaly [%],80.34602366666667,66.16058818333333,59.413050041666665,52.516657395833334,none,Short Rains (Oct–Dec),none,Kenya,73.20583533333333,88.75134825,13.792785291666661,62.77412634221503,22.6172330881886
rainfall-mm,-1.0,-2.0,,,none,All Months,none,Kenya,,,,,
conflict_events,1.0,3.0,3.0,3.5,none,All Months,none,Kenya,1.0,2.0,1.0,,
conflict_events,1.0,3.0,3.0,3.5,>=40%,All Months,none,Kenya,1.0,2.0,1.0,,
conflict_fatalities,2.5,8.3,8.0,9.5,none,All Months,none,Kenya,1.25,5.0,3.0,,
conflict_fatalities,2.5,8.3,8.0,9.5,>=40%,All Months,none,Kenya,1.25,5.0,3.0,,
10 day NDVI anomaly,93.98270566666667,88.40631783333333,86.0061304375,83.30845155208334,none,All Months,none,Kenya,91.40148820833333,96.85214583333334,5.3953577708333285,89.08313983125329,76.24205608152579
10 day NDVI anomaly,93.274838625,86.5218697,83.7712105,80.62118929166667,>=40%,All Months,none,Kenya,90.07125291666667,96.30697133333334,6.30004241666667,89.08313983125329,76.24205608152579
10 day NDVI anomaly,93.82348833333333,86.671805,84.41554724999999,81.58769441666665,none,Long Rains (Mar-May),none,Kenya,90.07125291666667,96.646809375,5.655705666666677,89.08313983125329,76.24205608152579
10 day NDVI anomaly,93.39488025,87.48864210833334,83.65449266666666,80.3505436875,none,Short Rains (Oct-Dec),none,Kenya,90.262390625,96.27668941666667,6.607897958333339,89.08313983125329,76.24205608152579
ndvi_absolute,0.2344947071389421,-0.7278908085737326,-1.1027193778185942,-1.4307965728455327,none,All Months,none,Kenya,-0.44656498776471687,0.29888687862289776,0.6561543900538773,-0.9790189125362847,-1.9580378250725694
ndvi_absolute,0.2344947071389421,-0.7278908085737326,-1.1027193778185942,-1.4307965728455327,>=40%,All Months,none,Kenya,-0.44656498776471687,0.29888687862289776,0.6561543900538773,-0.9790189125362847,-1.9580378250725694
ndvi_absolute,0.17292972348125096,-0.6154468418502997,-0.9175763442706562,-1.1730608248076553,none,Long Rains (Mar-May),none,Kenya,-0.40660738319665796,0.2131272172243806,0.5109689610739983,-0.9790189125362847,-1.9580378250725694
ndvi_absolute,0.32516769316757016,-0.8289367383789019,-1.1964846875920137,-1.575679624971808,none,Short Rains (Oct-Dec),none,Kenya,-0.4380948128324252,0.39260039045547235,0.7583898747595885,-0.9790189125362847,-1.9580378250725694
