country,adm1_name,date,indicator,value,group,year,month,month_name,year_month,year_month_str
Afghanistan,Balkh,2025-01-02,percent_area_flooded,1.81649149,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Balkh,2025-01-02,percent_area_flooded,0.017832279,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Balkh,2025-01-02,percent_area_flooded,0.367207997,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Balkh,2025-01-02,percent_area_flooded,1.677232277,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Balkh,2025-01-02,percent_area_flooded,0.566358937,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Balkh,2025-01-02,percent_area_flooded,4.506317285,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Balkh,2025-01-02,percent_area_flooded,4.240865107,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Balkh,2025-01-02,percent_area_flooded,0.657862693,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Balkh,2025-01-02,percent_area_flooded,0.308584207,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Balkh,2025-01-02,percent_area_flooded,5.429038366,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Ghor,2025-01-02,percent_area_flooded,0.274923638,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Samangan,2025-01-02,percent_area_flooded,0.056596307,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Nuristan,2025-01-02,percent_area_flooded,0.160288172,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Samangan,2025-01-02,percent_area_flooded,0.242955762,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Samangan,2025-01-02,percent_area_flooded,0.135269969,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Takhar,2025-01-02,percent_area_flooded,1.090189129,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Takhar,2025-01-02,percent_area_flooded,1.146255595,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Takhar,2025-01-02,percent_area_flooded,0.397256813,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Takhar,2025-01-02,percent_area_flooded,0.639054753,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Takhar,2025-01-02,percent_area_flooded,2.217748861,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Takhar,2025-01-02,percent_area_flooded,1.736227019,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Kunduz,2025-01-02,percent_area_flooded,1.58151164,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Kunduz,2025-01-02,percent_area_flooded,0.025190984,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Kunduz,2025-01-02,percent_area_flooded,0.253659473,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Kunduz,2025-01-02,percent_area_flooded,0.122688642,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Kunduz,2025-01-02,percent_area_flooded,6.66183712,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Kunduz,2025-01-02,percent_area_flooded,0.217286235,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Kunduz,2025-01-02,percent_area_flooded,3.263665185,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Samangan,2025-01-02,percent_area_flooded,0.028447382,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Samangan,2025-01-02,percent_area_flooded,0.17701832,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Samangan,2025-01-02,percent_area_flooded,0.017796664,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Baghlan,2025-01-02,percent_area_flooded,0.139512137,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Nuristan,2025-01-02,percent_area_flooded,0.376066662,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Nuristan,2025-01-02,percent_area_flooded,0.492372618,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Ghazni,2025-01-02,percent_area_flooded,0.947377702,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Ghazni,2025-01-02,percent_area_flooded,0.179037768,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Ghazni,2025-01-02,percent_area_flooded,0.074661436,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Ghazni,2025-01-02,percent_area_flooded,0.089650198,Unknown,2025,1,Jan,2025-01,2025-01
Afghanistan,Ghazni,2025-01-02,percent_area_flooded,0.189636642,Unknown,2025,1,Jan,2025-01,2025-01
